;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"14";"21";"32";"51";"41";"54";"29";"16";"18";"27";"23";"15";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"2";"6";"10";"4";"7";"6";"3";"16";"5";"5";"9";"12";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"15";"15";"17";"14";"18";"17";"13";"12";"18";"13";"10";"9";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"63";"63";"53";"45";"39";"35";"29";"28";"26";"24";"25";"29";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"38";"96";"109";"116";"123";"140";"153";"169";"67";"67";"46";"61";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";"152";"195";"211";"239";"270";"311";"357";"693";"1.031";"1.133";"1.178";"1.206";
;"    Niedersachsen";" Tätigkeitsbereiche insgesamt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"11.670";"17.206";"18.722";"18.929";"19.045";"19.281";"19.383";"19.534";"20.363";"21.193";"22.805";"23.053";"23.215";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.401";"3.496";"3.263";"3.666";"2.871";"2.704";"2.533";"2.380";"1.933";"1.893";"2.526";"2.571";"2.605";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.016";"2.476";"2.794";"2.790";"2.920";"2.945";"2.895";"2.749";"2.164";"1.733";"1.717";"1.706";"1.728";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.227";"4.871";"5.203";"5.206";"5.296";"5.311";"5.344";"5.458";"5.702";"5.176";"4.253";"4.124";"3.990";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.864";"2.875";"3.866";"3.857";"4.217";"4.417";"4.552";"4.657";"5.036";"5.376";"5.678";"5.773";"5.733";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.226";"701";"987";"965";"1.223";"1.389";"1.586";"1.781";"2.474";"2.697";"2.991";"2.945";"2.954";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.936";"2.787";"2.609";"2.445";"2.518";"2.515";"2.473";"2.509";"3.054";"4.318";"5.640";"5.934";"6.205";
;;"    Mit ärztlicher Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"10.633";"14.600";"15.766";"15.961";"15.984";"16.163";"16.167";"16.257";"16.607";"16.937";"17.884";"17.970";"18.110";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.325";"3.302";"3.027";"3.421";"2.633";"2.528";"2.381";"2.241";"1.830";"1.797";"2.421";"2.491";"2.557";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.992";"2.373";"2.659";"2.667";"2.759";"2.801";"2.769";"2.649";"2.094";"1.704";"1.686";"1.683";"1.709";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.205";"4.759";"5.051";"5.049";"5.125";"5.139";"5.176";"5.288";"5.578";"5.073";"4.172";"4.039";"3.913";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.822";"2.772";"3.693";"3.661";"4.035";"4.234";"4.363";"4.456";"4.823";"5.189";"5.545";"5.622";"5.585";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.113";"571";"781";"692";"966";"1.068";"1.198";"1.358";"1.860";"2.239";"2.545";"2.545";"2.589";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.176";"823";"555";"471";"466";"393";"280";"265";"422";"935";"1.515";"1.590";"1.757";
;;"       Ambulant";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"4.985";"6.709";"7.455";"7.578";"7.665";"7.823";"7.850";"7.876";"8.075";"8.154";"8.038";"7.998";"7.971";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"188";"300";"274";"391";"205";"223";"216";"183";"102";"95";"90";"117";"113";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"790";"806";"852";"970";"915";"934";"893";"784";"540";"378";"326";"277";"262";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.088";"2.859";"2.995";"3.022";"2.897";"2.863";"2.836";"2.822";"2.742";"2.342";"1.709";"1.646";"1.576";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.067";"1.685";"2.399";"2.379";"2.683";"2.832";"2.929";"3.008";"3.129";"3.080";"3.111";"3.113";"3.057";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"793";"347";"441";"398";"561";"635";"756";"872";"1.253";"1.565";"1.627";"1.589";"1.580";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.059";"712";"494";"418";"404";"336";"220";"207";"309";"694";"1.175";"1.256";"1.383";
;;"          Niedergelassen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"4.985";"6.361";"7.232";"7.339";"7.431";"7.578";"7.592";"7.639";"7.863";"7.753";"7.383";"7.317";"7.238";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"188";"151";"168";"250";"98";"118";"109";"87";"38";"24";"14";"20";"15";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"790";"695";"788";"909";"830";"840";"795";"700";"480";"272";"214";"177";"144";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.088";"2.790";"2.950";"2.993";"2.863";"2.822";"2.794";"2.777";"2.682";"2.232";"1.557";"1.494";"1.406";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.067";"1.671";"2.392";"2.372";"2.677";"2.828";"2.920";"2.997";"3.113";"3.042";"3.019";"3.025";"2.966";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"793";"345";"441";"398";"560";"635";"755";"871";"1.245";"1.537";"1.554";"1.528";"1.526";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.059";"709";"493";"417";"403";"335";"219";"207";"305";"646";"1.025";"1.073";"1.181";
;;"          Angestellt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"348";"223";"239";"234";"245";"258";"237";"212";"401";"655";"681";"733";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"149";"106";"141";"107";"105";"107";"96";"64";"71";"76";"97";"98";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"111";"64";"61";"85";"94";"98";"84";"60";"106";"112";"100";"118";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"69";"45";"29";"34";"41";"42";"45";"60";"110";"152";"152";"170";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"14";"7";"7";"6";"4";"9";"11";"16";"38";"92";"88";"91";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"2";"";"";"1";"";"1";"1";"8";"28";"73";"61";"54";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"3";"1";"1";"1";"1";"1";"";"4";"48";"150";"183";"202";
;;"       Stationär";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"4.899";"6.902";"7.398";"7.438";"7.335";"7.353";"7.310";"7.359";"7.475";"7.617";"8.647";"8.783";"8.968";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.065";"2.749";"2.578";"2.823";"2.247";"2.141";"2.014";"1.927";"1.649";"1.636";"2.250";"2.293";"2.368";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.111";"1.408";"1.653";"1.550";"1.694";"1.714";"1.726";"1.714";"1.455";"1.263";"1.290";"1.329";"1.375";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"981";"1.596";"1.761";"1.716";"1.892";"1.953";"2.010";"2.143";"2.502";"2.442";"2.249";"2.185";"2.142";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"529";"939";"1.093";"1.078";"1.134";"1.154";"1.166";"1.166";"1.373";"1.733";"2.038";"2.107";"2.131";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"172";"184";"291";"252";"346";"374";"379";"396";"470";"496";"714";"754";"803";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"41";"26";"22";"19";"22";"17";"15";"13";"26";"47";"106";"115";"149";
;;"       In Behörden/Körperschaften u. a.";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"443";"621";"589";"633";"638";"633";"593";"574";"523";"472";"412";"393";"386";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"46";"160";"105";"147";"127";"116";"96";"82";"67";"49";"60";"61";"57";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"32";"109";"96";"94";"84";"92";"73";"67";"42";"26";"31";"31";"35";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"44";"197";"208";"218";"230";"215";"208";"189";"159";"113";"65";"56";"55";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"172";"110";"143";"143";"152";"166";"176";"179";"190";"196";"158";"150";"139";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"113";"24";"32";"27";"39";"39";"38";"54";"64";"81";"87";"86";"89";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"36";"21";"5";"4";"6";"5";"2";"3";"1";"7";"11";"9";"11";
;;"       In sonstigen Bereichen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"306";"368";"324";"312";"346";"354";"414";"448";"534";"694";"787";"796";"785";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"26";"93";"70";"60";"54";"48";"55";"49";"12";"17";"21";"20";"19";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"59";"50";"58";"53";"66";"61";"77";"84";"57";"37";"39";"46";"37";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"92";"107";"87";"93";"106";"108";"122";"134";"175";"176";"149";"152";"140";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"54";"38";"58";"61";"66";"82";"92";"103";"131";"180";"238";"252";"258";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"35";"16";"17";"15";"20";"20";"25";"36";"73";"97";"117";"116";"117";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"40";"64";"34";"30";"34";"35";"43";"42";"86";"187";"223";"210";"214";
;;"    Ohne ärztliche Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.037";"2.606";"2.956";"2.968";"3.061";"3.118";"3.216";"3.277";"3.756";"4.256";"4.921";"5.083";"5.105";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"76";"194";"236";"245";"238";"176";"152";"139";"103";"96";"105";"80";"48";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"24";"103";"135";"123";"161";"144";"126";"100";"70";"29";"31";"23";"19";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"22";"112";"152";"157";"171";"172";"168";"170";"124";"103";"81";"85";"77";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"42";"103";"173";"196";"182";"183";"189";"201";"213";"187";"133";"151";"148";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"113";"130";"206";"273";"257";"321";"388";"423";"614";"458";"446";"400";"365";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"760";"1.964";"2.054";"1.974";"2.052";"2.122";"2.193";"2.244";"2.632";"3.383";"4.125";"4.344";"4.448";
;"    Nordrhein-Westfalen";" Tätigkeitsbereiche insgesamt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"30.021";"43.588";"47.188";"48.032";"48.629";"49.336";"49.760";"50.137";"51.856";"53.478";"56.687";"57.427";"58.352";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"6.622";"9.680";"9.172";"8.903";"8.407";"8.044";"7.492";"7.201";"5.797";"5.891";"6.847";"7.186";"7.487";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"5.369";"6.767";"7.232";"7.523";"7.695";"7.829";"7.836";"7.610";"5.952";"4.583";"4.947";"4.787";"4.902";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"5.655";"11.537";"12.606";"13.022";"13.306";"13.513";"13.693";"13.771";"14.486";"13.150";"10.495";"10.331";"10.108";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"5.336";"6.867";"9.159";"9.387";"9.715";"10.134";"10.456";"10.733";"12.047";"13.129";"13.851";"13.828";"13.766";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"3.040";"2.079";"2.391";"2.605";"2.968";"3.323";"3.790";"4.302";"5.748";"6.088";"7.368";"7.325";"7.343";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"3.999";"6.658";"6.628";"6.592";"6.538";"6.493";"6.493";"6.520";"7.826";"10.637";"13.179";"13.970";"14.746";
;;"    Mit ärztlicher Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"27.339";"36.506";"39.524";"40.091";"40.385";"40.621";"40.904";"41.189";"41.516";"42.045";"44.216";"44.490";"44.907";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"6.442";"9.097";"8.560";"8.225";"7.697";"7.390";"6.957";"6.663";"5.341";"5.510";"6.340";"6.662";"7.001";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"5.287";"6.505";"6.922";"7.180";"7.310";"7.384";"7.375";"7.215";"5.725";"4.441";"4.801";"4.627";"4.744";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"5.574";"11.180";"12.160";"12.495";"12.726";"12.921";"13.087";"13.160";"13.953";"12.773";"10.193";"10.044";"9.820";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"5.170";"6.590";"8.747";"8.953";"9.239";"9.583";"9.891";"10.157";"11.400";"12.561";"13.387";"13.381";"13.311";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.680";"1.580";"1.899";"2.073";"2.322";"2.505";"2.906";"3.306";"4.175";"4.876";"6.278";"6.287";"6.300";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.186";"1.554";"1.236";"1.165";"1.091";"838";"688";"688";"922";"1.884";"3.217";"3.489";"3.731";
;;"       Ambulant";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"12.338";"15.363";"17.295";"17.450";"17.659";"17.763";"17.934";"18.120";"18.739";"19.119";"19.143";"19.051";"18.969";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"440";"623";"549";"485";"470";"414";"387";"346";"187";"187";"216";"254";"295";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.102";"2.000";"2.129";"2.071";"1.955";"1.991";"1.901";"1.750";"1.283";"881";"787";"747";"780";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.874";"6.320";"6.832";"6.904";"6.942";"6.933";"6.849";"6.778";"6.569";"5.773";"4.174";"4.036";"3.855";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"3.122";"4.127";"5.599";"5.738";"5.968";"6.200";"6.457";"6.592";"7.190";"7.411";"7.499";"7.383";"7.257";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.939";"1.027";"1.175";"1.301";"1.431";"1.562";"1.822";"2.134";"2.784";"3.338";"3.923";"3.905";"3.873";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.861";"1.266";"1.011";"951";"893";"663";"518";"520";"726";"1.529";"2.544";"2.726";"2.909";
;;"          Niedergelassen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"12.338";"15.034";"16.915";"17.079";"17.290";"17.366";"17.507";"17.694";"18.296";"17.793";"16.575";"16.177";"15.801";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"440";"425";"338";"286";"261";"241";"207";"180";"73";"54";"42";"44";"45";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.102";"1.916";"2.040";"1.983";"1.872";"1.886";"1.789";"1.615";"1.153";"640";"443";"397";"388";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.874";"6.282";"6.772";"6.838";"6.881";"6.846";"6.744";"6.677";"6.444";"5.335";"3.438";"3.221";"3.027";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"3.122";"4.120";"5.586";"5.726";"5.957";"6.178";"6.435";"6.575";"7.140";"7.214";"6.934";"6.747";"6.516";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.939";"1.027";"1.171";"1.297";"1.428";"1.557";"1.819";"2.131";"2.766";"3.220";"3.604";"3.548";"3.504";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.861";"1.264";"1.008";"949";"891";"658";"513";"516";"720";"1.330";"2.114";"2.220";"2.321";
;;"          Angestellt";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"329";"380";"371";"369";"397";"427";"426";"443";"1.326";"2.568";"2.874";"3.168";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"198";"211";"199";"209";"173";"180";"166";"114";"133";"174";"210";"250";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"84";"89";"88";"83";"105";"112";"135";"130";"241";"344";"350";"392";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"38";"60";"66";"61";"87";"105";"101";"125";"438";"736";"815";"828";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"7";"13";"12";"11";"22";"22";"17";"50";"197";"565";"636";"741";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"";"4";"4";"3";"5";"3";"3";"18";"118";"319";"357";"369";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"";"2";"3";"2";"2";"5";"5";"4";"6";"199";"430";"506";"588";
;;"       Stationär";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"13.235";"18.327";"19.414";"19.797";"19.475";"19.591";"19.736";"19.752";"20.591";"20.627";"22.731";"23.108";"23.613";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"5.752";"7.767";"7.536";"7.340";"6.685";"6.475";"6.114";"5.870";"5.070";"5.261";"6.070";"6.349";"6.642";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"3.027";"3.990";"4.299";"4.583";"4.715";"4.741";"4.838";"4.819";"4.235";"3.427";"3.936";"3.798";"3.876";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.412";"4.085";"4.379";"4.603";"4.695";"4.860";"5.100";"5.219";"6.620";"6.338";"5.600";"5.623";"5.612";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.427";"2.007";"2.583";"2.617";"2.631";"2.728";"2.764";"2.856";"3.458";"4.247";"5.013";"5.135";"5.209";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"396";"416";"567";"610";"716";"762";"892";"953";"1.149";"1.224";"1.841";"1.881";"1.904";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"221";"62";"50";"44";"33";"25";"28";"35";"59";"130";"271";"322";"370";
;;"       In Behörden/Körperschaften u. a.";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"1.182";"861";"803";"804";"796";"826";"827";"778";"688";"719";"618";"597";"582";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"71";"156";"115";"86";"83";"99";"92";"70";"35";"18";"15";"21";"24";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"84";"147";"110";"123";"123";"123";"122";"109";"65";"28";"16";"15";"16";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"217";"253";"283";"291";"293";"304";"323";"300";"252";"208";"85";"74";"59";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"505";"206";"207";"221";"216";"215";"217";"216";"261";"359";"304";"283";"264";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"256";"73";"72";"66";"68";"73";"65";"75";"71";"93";"180";"180";"191";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"49";"26";"16";"17";"13";"12";"8";"8";"4";"13";"18";"24";"28";
;;"       In sonstigen Bereichen";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"584";"1.955";"2.012";"2.040";"2.455";"2.441";"2.407";"2.539";"1.498";"1.580";"1.724";"1.734";"1.743";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"179";"551";"360";"314";"459";"402";"364";"377";"49";"44";"39";"38";"40";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"74";"368";"384";"403";"517";"529";"514";"537";"142";"105";"62";"67";"72";
;;;"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"71";"522";"666";"697";"796";"824";"815";"863";"512";"454";"334";"311";"294";
;;;"    50 bis unter 60 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"116";"250";"358";"377";"424";"440";"453";"493";"491";"544";"571";"580";"581";
;;;"    60 bis unter 66 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"89";"64";"85";"96";"107";"108";"127";"144";"171";"221";"334";"321";"332";
;;;"    66 Jahre und älter";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"55";"200";"159";"153";"152";"138";"134";"125";"133";"212";"384";"417";"424";
;;"    Ohne ärztliche Tätigkeit";" Alle Altersgruppen";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"2.682";"7.082";"7.664";"7.941";"8.244";"8.715";"8.856";"8.948";"10.340";"11.433";"12.471";"12.937";"13.445";
;;;"    Unter 35 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"180";"583";"612";"678";"710";"654";"535";"538";"456";"381";"507";"524";"486";
;;;"    35 bis unter 40 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";"82";"262";"310";"343";"385";"445";"461";"395";"227";"142";"146";"160";"158";
