

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=656:36406946D
 
Bei den Ärztekammern registrierte Ärztinnen und Ärzte mit Gebiets- und Facharztbezeichnung (absolut, je 100.000 Einwohner und Einwohner je Arzt). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Gebiets-/Facharztbezeichnung, Tätigkeitsbereich                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Region:;Deutschland
Geschlecht:;Beide Geschlechter
Tätigkeitsbereich:;Tätigkeitsbereiche insgesamt
Darstellung:;Anzahl Ärzte/Ärztinnen
""
;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"       Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"3.822";"3.705";"3.796";"4.033";"4.087";"4.339";"4.293";"4.164";"4.101";"3.962";"4.150";"4.341";"4.623";"4.775";"4.839";"4.307";"3.845";"3.221";"2.909";"2.666";"2.485";"2.332";"2.372";"2.269";"2.276";"2.243";"2.344";
;"    Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"2.421";"2.567";"2.692";"2.793";"2.934";"3.248";"3.432";"3.530";"3.533";"3.431";"3.289";"3.159";"3.147";"2.995";"2.829";"2.814";"2.740";"2.581";"2.632";"2.627";"2.720";"2.781";"3.003";"3.092";"3.282";"3.359";"3.472";
;"       Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"2.421";"2.567";"2.692";"2.793";"2.934";"3.248";"3.432";"3.530";"3.533";"3.431";"3.289";"3.159";"3.147";"2.995";"2.829";"2.814";"2.740";"2.581";"2.632";"2.627";"2.720";"2.781";"3.003";"3.092";"3.282";"3.359";"3.472";
;"    Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"4";"6";"8";"8";"9";"18";"21";"31";"29";"21";"17";"15";"13";"13";"13";"7";"6";"5";"4";"4";"4";"3";"2";"2";"3";"4";"8";
;"       Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"4";"6";"8";"8";"9";"18";"21";"31";"29";"21";"17";"15";"13";"13";"13";"7";"6";"5";"4";"4";"4";"3";"2";"2";"3";"4";"8";
;"    Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"280";"290";"314";"325";"313";"323";"299";"317";"314";"281";"289";"288";"282";"275";"235";"230";"215";"188";"169";"142";"140";"139";"158";"167";"165";"166";"188";
;"       Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"280";"290";"314";"325";"313";"323";"299";"317";"314";"281";"289";"288";"282";"275";"235";"230";"215";"188";"169";"142";"140";"139";"158";"167";"165";"166";"188";
;"    Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"826";"895";"988";"1.037";"1.109";"1.120";"1.128";"1.154";"1.134";"1.104";"1.095";"1.075";"1.059";"1.025";"939";"931";"898";"839";"800";"776";"813";"800";"832";"811";"807";"816";"878";
;"       Augenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"826";"895";"988";"1.037";"1.109";"1.120";"1.128";"1.154";"1.134";"1.104";"1.095";"1.075";"1.059";"1.025";"939";"931";"898";"839";"800";"776";"813";"800";"832";"811";"807";"816";"878";
;"    Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"14";"13";"11";"12";"13";"11";"10";"14";"14";"8";"7";"7";"3";"2";"1";"1";"2";"2";"1";"2";"1";"1";"1";"1";"";"";"";
;"       Biochemie";".";".";".";".";".";".";".";".";".";".";".";".";"14";"13";"11";"12";"13";"11";"10";"14";"14";"8";"7";"7";"3";"2";"1";"1";"2";"2";"1";"2";"1";"1";"1";"1";"";"";"";
;"    Chirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"3.253";"3.377";"3.592";"3.809";"3.854";"4.105";"4.283";"4.404";"4.533";"4.632";"4.650";"4.636";"4.581";"4.632";"4.431";"4.553";"4.378";"4.164";"4.108";"4.112";"4.300";"4.405";"4.603";"4.602";"4.705";"4.621";"4.702";
;"       Allgemeinchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"2.206";"2.299";"2.442";"2.600";"2.584";"2.766";"2.823";"2.866";"2.893";"2.977";"2.989";"2.962";"2.919";"2.957";"2.810";"2.819";"2.590";"2.351";"2.192";"2.005";"1.870";"1.707";"1.566";"1.274";"1.026";"846";"727";
;"       Gefäßchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13";"18";"31";"53";"61";"72";"107";"127";"177";"213";"221";"240";
;"       Herzchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"1";"";"1";"5";"16";"23";"53";"68";"89";"112";"136";"150";"155";"171";"150";"131";"131";"130";"111";"121";"142";"123";"122";"121";"140";"150";"156";
;"       Kinderchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"40";"40";"42";"41";"38";"42";"48";"62";"61";"69";"65";"62";"53";"66";"65";"62";"73";"73";"66";"68";"77";"92";"92";"87";"94";"92";"102";
;"       Orthopädie und Unfallchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"1.006";"1.038";"1.107";"1.163";"1.210";"1.261";"1.341";"1.387";"1.457";"1.428";"1.389";"1.372";"1.347";"1.316";"1.284";"1.393";"1.399";"1.374";"1.437";"1.565";"1.805";"1.977";"2.194";"2.291";"2.401";"2.370";"2.379";
;"       Plastische und Ästhetische Chirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"6";"13";"18";"21";"33";"46";"71";"90";"107";"122";"122";"129";"139";"160";"173";"204";"212";"216";"236";"250";"252";"229";"241";
;"       Thoraxchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"9";"11";"16";"23";"28";"34";"37";"46";"48";"59";
;"       Viszeralchirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"25";"36";"65";"72";"99";"155";"232";"365";"533";"665";"798";
;"    Frauenheilkunde und Geburtshilfe";".";".";".";".";".";".";".";".";".";".";".";".";"1.897";"1.976";"2.127";"2.164";"2.198";"2.324";"2.426";"2.526";"2.575";"2.635";"2.553";"2.485";"2.408";"2.318";"2.217";"2.191";"2.138";"2.090";"2.016";"1.960";"1.970";"1.942";"2.013";"2.059";"2.042";"2.074";"2.174";
;"       Frauenheilkunde und Geburtshilfe";".";".";".";".";".";".";".";".";".";".";".";".";"1.897";"1.976";"2.127";"2.164";"2.198";"2.324";"2.426";"2.526";"2.575";"2.635";"2.553";"2.485";"2.408";"2.318";"2.217";"2.191";"2.138";"2.090";"2.016";"1.960";"1.970";"1.942";"2.013";"2.059";"2.042";"2.074";"2.174";
;"    Hals-Nasen-Ohrenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"703";"732";"805";"841";"875";"957";"1.017";"1.013";"1.011";"1.006";"981";"941";"950";"904";"878";"873";"860";"789";"774";"740";"751";"740";"752";"741";"784";"772";"772";
;"       Hals-Nasen-Ohrenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"703";"732";"805";"841";"871";"942";"1.000";"997";"990";"981";"956";"919";"926";"874";"847";"842";"833";"765";"758";"732";"736";"731";"739";"725";"767";"751";"756";
;"       Sprach-, Stimm- und kindliche Hörstörungen";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"4";"15";"17";"16";"21";"25";"25";"22";"24";"30";"31";"31";"27";"24";"16";"8";"15";"9";"13";"16";"17";"21";"16";
;"    Haut- und Geschlechtskrankheiten";".";".";".";".";".";".";".";".";".";".";".";".";"545";"609";"662";"705";"750";"835";"870";"904";"920";"944";"944";"933";"905";"905";"833";"829";"825";"809";"767";"768";"758";"732";"738";"715";"713";"694";"654";
;"       Haut- und Geschlechtskrankheiten";".";".";".";".";".";".";".";".";".";".";".";".";"545";"609";"662";"705";"750";"835";"870";"904";"920";"944";"944";"933";"905";"905";"833";"829";"825";"809";"767";"768";"758";"732";"738";"715";"713";"694";"654";
;"    Humangenetik";".";".";".";".";".";".";".";".";".";".";".";".";"6";"5";"11";"12";"13";"23";"28";"30";"32";"31";"23";"31";"27";"27";"29";"35";"34";"29";"35";"36";"44";"44";"46";"42";"45";"36";"45";
;"       Humangenetik";".";".";".";".";".";".";".";".";".";".";".";".";"6";"5";"11";"12";"13";"23";"28";"30";"32";"31";"23";"31";"27";"27";"29";"35";"34";"29";"35";"36";"44";"44";"46";"42";"45";"36";"45";
;"    Hygiene und Umweltmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"27";"35";"38";"38";"35";"27";"26";"26";"29";"27";"28";"22";"19";"13";"10";"15";"17";"13";"11";"7";"8";"6";"9";"10";"13";"12";"17";
;"       Hygiene und Umweltmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"27";"35";"38";"38";"35";"27";"26";"26";"29";"27";"28";"22";"19";"13";"10";"15";"17";"13";"11";"7";"8";"6";"9";"10";"13";"12";"17";
;"    Innere Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"4.437";"4.728";"5.025";"5.296";"5.444";"5.857";"6.215";"6.545";"6.679";"6.681";"6.666";"6.510";"6.370";"6.285";"5.879";"5.990";"5.781";"5.525";"5.449";"5.605";"5.934";"6.264";"6.574";"6.660";"6.889";"6.927";"7.016";
;"       Innere Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"4.327";"4.625";"4.932";"5.213";"5.371";"5.767";"6.147";"6.488";"6.648";"6.657";"6.652";"6.504";"6.367";"6.282";"5.862";"5.932";"5.671";"5.314";"5.122";"5.124";"5.313";"5.350";"5.363";"5.088";"4.941";"4.707";"4.618";
;"       Innere Medizin und Angiologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"4";"3";"6";"10";"18";"20";"26";"32";"33";"36";"49";"49";
;"       Innere Medizin und Endokrinologie und Diabetologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"3";"7";"11";"17";"18";"25";"37";"41";"44";"52";"66";"67";
;"       Innere Medizin und Gastroenterologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"12";"16";"38";"65";"84";"96";"137";"172";"212";"284";"305";"346";
;"       Innere Medizin und Geriatrie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"3";"4";"5";"9";"11";"12";"8";"7";
;"       Innere Medizin und Hämatologie und Onkologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"6";"14";"28";"35";"58";"77";"102";"144";"195";"237";"279";"306";
;"       Innere Medizin und Kardiologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16";"37";"64";"104";"174";"242";"387";"510";"669";"850";"982";"1.062";
;"       Innere Medizin und Nephrologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"14";"27";"43";"54";"74";"115";"151";"181";"216";"236";"233";
;"       Innere Medizin und Pneumologie";".";".";".";".";".";".";".";".";".";".";".";".";"110";"103";"93";"83";"73";"90";"68";"57";"31";"24";"14";"6";"3";"3";"3";"6";"14";"25";"42";"56";"67";"86";"123";"178";"195";"229";"257";
;"       Innere Medizin und Rheumatologie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"4";"11";"10";"16";"16";"19";"29";"49";"66";"66";"71";
;"    Kinder- und Jugendmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"1.619";"1.663";"1.757";"1.820";"1.871";"1.985";"2.065";"2.066";"2.090";"1.998";"1.867";"1.769";"1.686";"1.663";"1.620";"1.749";"1.771";"1.759";"1.887";"1.945";"2.036";"2.016";"2.131";"2.190";"2.214";"2.217";"2.278";
;"       Kinder- und Jugendmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"1.619";"1.663";"1.757";"1.820";"1.871";"1.985";"2.065";"2.066";"2.090";"1.998";"1.867";"1.769";"1.686";"1.663";"1.620";"1.749";"1.771";"1.759";"1.887";"1.945";"2.036";"2.016";"2.131";"2.190";"2.214";"2.217";"2.278";
;"    Kinder- und Jugendpsychiatrie und -psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"89";"97";"108";"109";"109";"120";"130";"162";"185";"208";"225";"209";"201";"205";"178";"187";"179";"180";"189";"185";"187";"186";"226";"229";"259";"277";"292";
;"       Kinder- und Jugendpsychiatrie und -psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"89";"97";"108";"109";"109";"120";"130";"162";"185";"208";"225";"209";"201";"205";"178";"187";"179";"180";"189";"185";"187";"186";"226";"229";"259";"277";"292";
;"    Laboratoriumsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"65";"81";"85";"101";"117";"134";"147";"152";"133";"118";"99";"109";"111";"109";"98";"103";"92";"87";"70";"65";"66";"61";"61";"64";"54";"65";"72";
;"       Laboratoriumsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"65";"81";"85";"101";"117";"134";"147";"152";"133";"118";"99";"109";"111";"109";"98";"103";"92";"87";"70";"65";"66";"61";"61";"64";"54";"65";"72";
;"    Mikrobiologie, Virologie, Infektionsepidemiologie";".";".";".";".";".";".";".";".";".";".";".";".";"64";"77";"78";"91";"106";"113";"126";"128";"117";"112";"111";"94";"94";"87";"83";"74";"75";"74";"79";"82";"82";"80";"80";"79";"79";"87";"82";
;"       Mikrobiologie, Virologie und Infektionsepidemiologie";".";".";".";".";".";".";".";".";".";".";".";".";"64";"77";"78";"91";"106";"113";"126";"128";"117";"112";"111";"94";"94";"87";"83";"74";"75";"74";"79";"82";"82";"80";"80";"79";"79";"87";"82";
;"    Mund-Kiefer-Gesichtschirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"126";"154";"178";"202";"209";"227";"253";"278";"257";"258";"254";"236";"220";"224";"208";"228";"214";"225";"216";"201";"184";"171";"190";"184";"186";"184";"172";
;"       Mund-Kiefer-Gesichtschirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"126";"154";"178";"202";"209";"227";"253";"278";"257";"258";"254";"236";"220";"224";"208";"228";"214";"225";"216";"201";"184";"171";"190";"184";"186";"184";"172";
;"    Nervenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"971";"948";"947";"902";"808";"715";"571";"432";"293";"193";"117";"81";"65";"67";"61";"72";"68";"62";"58";"48";"55";"46";"42";"27";"16";"9";"3";
;"       Nervenheilkunde";".";".";".";".";".";".";".";".";".";".";".";".";"971";"948";"947";"902";"808";"715";"571";"432";"293";"193";"117";"81";"65";"67";"61";"72";"68";"62";"58";"48";"55";"46";"42";"27";"16";"9";"3";
;"    Neurochirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"135";"158";"163";"179";"178";"189";"208";"225";"244";"246";"274";"280";"294";"290";"262";"288";"263";"245";"256";"251";"276";"285";"309";"343";"390";"396";"426";
;"       Neurochirurgie";".";".";".";".";".";".";".";".";".";".";".";".";"135";"158";"163";"179";"178";"189";"208";"225";"244";"246";"274";"280";"294";"290";"262";"288";"263";"245";"256";"251";"276";"285";"309";"343";"390";"396";"426";
;"    Neurologie";".";".";".";".";".";".";".";".";".";".";".";".";"232";"269";"295";"332";"434";"501";"643";"732";"827";"886";"935";"966";"1.013";"1.046";"1.010";"1.077";"1.121";"1.092";"1.106";"1.060";"1.059";"1.077";"1.169";"1.261";"1.296";"1.331";"1.388";
;"       Neurologie";".";".";".";".";".";".";".";".";".";".";".";".";"232";"269";"295";"332";"434";"501";"643";"732";"827";"886";"935";"966";"1.013";"1.046";"1.010";"1.077";"1.121";"1.092";"1.106";"1.060";"1.059";"1.077";"1.169";"1.261";"1.296";"1.331";"1.388";
;"    Nuklearmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"72";"80";"97";"104";"124";"134";"157";"166";"171";"174";"180";"168";"166";"146";"147";"140";"141";"121";"119";"101";"101";"99";"100";"108";"92";"103";"114";
;"       Nuklearmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"72";"80";"97";"104";"124";"134";"157";"166";"171";"174";"180";"168";"166";"146";"147";"140";"141";"121";"119";"101";"101";"99";"100";"108";"92";"103";"114";
;"    Öffentliches Gesundheitswesen";".";".";".";".";".";".";".";".";".";".";".";".";"130";"129";"134";"118";"92";"90";"62";"49";"36";"30";"26";"21";"17";"18";"14";"14";"14";"13";"12";"10";"12";"15";"16";"14";"19";"19";"15";
;"       Öffentliches Gesundheitswesen";".";".";".";".";".";".";".";".";".";".";".";".";"130";"129";"134";"118";"92";"90";"62";"49";"36";"30";"26";"21";"17";"18";"14";"14";"14";"13";"12";"10";"12";"15";"16";"14";"19";"19";"15";
;"    Pathologie";".";".";".";".";".";".";".";".";".";".";".";".";"174";"199";"205";"217";"227";"225";"219";"222";"212";"187";"194";"182";"161";"172";"145";"148";"139";"128";"140";"150";"154";"156";"175";"177";"190";"193";"186";
;"       Neuropathologie";".";".";".";".";".";".";".";".";".";".";".";".";"3";"3";"2";"4";"11";"15";"15";"18";"19";"18";"20";"19";"21";"22";"20";"21";"19";"17";"15";"16";"18";"15";"12";"10";"12";"8";"9";
;"       Pathologie";".";".";".";".";".";".";".";".";".";".";".";".";"171";"196";"203";"213";"216";"210";"204";"204";"193";"169";"174";"163";"140";"150";"125";"127";"120";"111";"125";"134";"136";"141";"163";"167";"178";"185";"177";
;"    Pharmakologie";".";".";".";".";".";".";".";".";".";".";".";".";"57";"56";"61";"75";"93";"86";"78";"68";"64";"64";"71";"66";"57";"51";"40";"52";"55";"49";"41";"32";"25";"30";"28";"32";"30";"28";"21";
;"       Klinische Pharmakologie";".";".";".";".";".";".";".";".";".";".";".";".";"8";"9";"18";"24";"27";"31";"27";"22";"23";"26";"31";"30";"25";"31";"26";"35";"41";"34";"27";"23";"17";"20";"20";"21";"19";"15";"10";
;"       Pharmakologie und Toxikologie";".";".";".";".";".";".";".";".";".";".";".";".";"49";"47";"43";"51";"66";"55";"51";"46";"41";"38";"40";"36";"32";"20";"14";"17";"14";"15";"14";"9";"8";"10";"8";"11";"11";"13";"11";
;"    Physikalische und Rehabilitative Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"52";"51";"49";"61";"99";"139";"199";"222";"202";"177";"152";"133";"123";"106";"89";"85";"74";"58";"62";"60";"63";"50";"54";"62";"72";"74";"70";
;"       Physikalische und Rehabilitative Medizin";".";".";".";".";".";".";".";".";".";".";".";".";"52";"51";"49";"61";"99";"139";"199";"222";"202";"177";"152";"133";"123";"106";"89";"85";"74";"58";"62";"60";"63";"50";"54";"62";"72";"74";"70";
;"    Physiologie";".";".";".";".";".";".";".";".";".";".";".";".";"10";"12";"16";"20";"21";"30";"34";"25";"23";"13";"14";"9";"4";"3";"7";"5";"5";"5";"5";"7";"5";"9";"9";"8";"5";"4";"5";
;"       Physiologie";".";".";".";".";".";".";".";".";".";".";".";".";"10";"12";"16";"20";"21";"30";"34";"25";"23";"13";"14";"9";"4";"3";"7";"5";"5";"5";"5";"7";"5";"9";"9";"8";"5";"4";"5";
;"    Psychiatrie und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"405";"454";"531";"614";"704";"862";"985";"1.167";"1.264";"1.397";"1.392";"1.342";"1.267";"1.161";"982";"962";"877";"791";"784";"743";"729";"741";"762";"771";"778";"794";"818";
;"       Psychiatrie und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"405";"454";"531";"614";"704";"862";"985";"1.167";"1.264";"1.397";"1.392";"1.342";"1.267";"1.161";"982";"962";"877";"791";"784";"743";"729";"741";"762";"771";"778";"794";"818";
;"    Psychosomatische Medizin und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"2";"23";"59";"111";"168";"224";"184";"155";"119";"111";"120";"114";"96";"101";"81";"73";"71";"66";"61";"71";"82";"76";"106";"97";"112";
;"       Psychosomatische Medizin und Psychotherapie";".";".";".";".";".";".";".";".";".";".";".";".";"";"";"2";"23";"59";"111";"168";"224";"184";"155";"119";"111";"120";"114";"96";"101";"81";"73";"71";"66";"61";"71";"82";"76";"106";"97";"112";
;"    Radiologie";".";".";".";".";".";".";".";".";".";".";".";".";"772";"862";"956";"997";"996";"1.110";"1.177";"1.212";"1.236";"1.159";"1.090";"1.030";"972";"908";"838";"821";"815";"805";"789";"814";"832";"849";"936";"979";"1.076";"1.134";"1.209";
;"       Radiologie";".";".";".";".";".";".";".";".";".";".";".";".";"772";"862";"956";"997";"996";"1.110";"1.177";"1.212";"1.236";"1.159";"1.090";"1.030";"972";"908";"838";"821";"815";"805";"789";"814";"832";"849";"936";"979";"1.076";"1.134";"1.209";
;"    Rechtsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"27";"31";"39";"34";"31";"37";"36";"30";"32";"31";"29";"30";"29";"26";"28";"27";"28";"17";"23";"22";"22";"27";"34";"32";"31";"35";"36";
;"       Rechtsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"27";"31";"39";"34";"31";"37";"36";"30";"32";"31";"29";"30";"29";"26";"28";"27";"28";"17";"23";"22";"22";"27";"34";"32";"31";"35";"36";
;"    Strahlentherapie";".";".";".";".";".";".";".";".";".";".";".";".";"19";"30";"46";"57";"81";"109";"120";"143";"174";"176";"188";"200";"202";"194";"179";"172";"159";"147";"131";"126";"117";"112";"115";"144";"148";"148";"159";
;"       Strahlentherapie";".";".";".";".";".";".";".";".";".";".";".";".";"19";"30";"46";"57";"81";"109";"120";"143";"174";"176";"188";"200";"202";"194";"179";"172";"159";"147";"131";"126";"117";"112";"115";"144";"148";"148";"159";
;"    Transfusionsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"13";"20";"20";"26";"38";"56";"72";"91";"95";"93";"96";"99";"103";"86";"60";"53";"52";"43";"36";"32";"32";"27";"24";"28";"33";"26";"28";
;"       Transfusionsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"13";"20";"20";"26";"38";"56";"72";"91";"95";"93";"96";"99";"103";"86";"60";"53";"52";"43";"36";"32";"32";"27";"24";"28";"33";"26";"28";
;"    Urologie";".";".";".";".";".";".";".";".";".";".";".";".";"567";"632";"668";"688";"677";"726";"783";"815";"847";"849";"859";"854";"816";"831";"773";"783";"739";"680";"678";"648";"632";"626";"663";"694";"756";"757";"803";
;"       Urologie";".";".";".";".";".";".";".";".";".";".";".";".";"567";"632";"668";"688";"677";"726";"783";"815";"847";"849";"859";"854";"816";"831";"773";"783";"739";"680";"678";"648";"632";"626";"663";"694";"756";"757";"803";
;"    Sonstige Gebiete";".";".";".";".";".";".";".";".";".";".";".";".";"75";"82";"78";"92";"97";"68";"52";"37";"24";"6";"4";"2";"2";"3";"2";"2";"2";"3";"2";"1";"";"";"";"";"1";"";"1";
;"       Sozialhygiene";".";".";".";".";".";".";".";".";".";".";".";".";"12";"19";"12";"14";"13";"8";"5";"6";"3";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;"       Sportmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"45";"48";"48";"56";"52";"32";"19";"13";"8";"1";"";"";"";"1";"";"";"";"1";"";"1";"";"";"";"";"1";"";"";
;"       Sonstige Facharztbezeichnungen";".";".";".";".";".";".";".";".";".";".";".";".";"18";"15";"18";"22";"32";"28";"28";"18";"13";"4";"3";"2";"2";"2";"2";"2";"2";"2";"2";"";"";"";"";"";"";"";"1";
;"    Ohne Gebiet";".";".";".";".";".";".";".";".";".";".";".";".";"20.869";"21.058";"21.154";"21.619";"23.591";"23.920";"25.054";"25.831";"26.328";"25.993";"24.929";"24.426";"23.215";"21.255";"20.038";"18.577";"17.584";"17.038";"16.586";"16.817";"17.146";"18.149";"18.617";"19.832";"19.038";"19.819";"20.745";
;"       Ohne Facharztbezeichnung";".";".";".";".";".";".";".";".";".";".";".";".";"20.323";"20.118";"20.143";"19.781";"20.829";"20.953";"22.079";"23.066";"23.843";"23.892";"23.313";"23.292";"22.541";"20.893";"19.955";"18.523";"17.559";"17.024";"16.573";"16.808";"17.140";"18.148";"18.616";"19.832";"19.038";"19.819";"20.745";
;"       Praktische Ärztin/Praktischer Arzt";".";".";".";".";".";".";".";".";".";".";".";".";"546";"940";"1.011";"1.838";"2.762";"2.967";"2.975";"2.765";"2.485";"2.101";"1.616";"1.134";"674";"362";"83";"54";"25";"14";"13";"9";"6";"1";"1";"";"";"";"";
"    40 bis unter 50 Jahre";" Gebiets-/Facharztbezeichnungen insgesamt (incl. ohne Gebiet)";".";".";".";".";".";".";".";".";".";".";".";".";"76.355";"77.507";"78.328";"79.759";"83.589";"87.374";"90.892";"93.928";"96.633";"99.123";"102.104";"105.532";"108.995";"111.543";"113.976";"115.035";"115.834";"116.061";"114.537";"112.398";"109.665";"105.779";"103.059";"99.816";"96.256";"95.065";"93.940";
;"    Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"8.922";"9.030";"9.673";"10.977";"12.601";"14.274";"14.597";"14.692";"14.490";"13.995";"13.791";"13.587";"13.435";"13.700";"15.442";"15.079";"15.006";"14.829";"14.398";"14.026";"13.341";"12.593";"12.000";"11.316";"10.681";"10.024";"9.527";
;"       Allgemeinmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"8.922";"9.030";"9.673";"10.977";"12.601";"14.274";"14.597";"14.692";"14.490";"13.995";"13.791";"13.587";"13.435";"13.700";"15.442";"15.079";"15.006";"14.829";"14.398";"14.026";"13.341";"12.593";"12.000";"11.316";"10.681";"10.024";"9.527";
;"    Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"3.917";"4.110";"4.324";"4.583";"4.666";"5.292";"5.666";"5.995";"6.411";"6.819";"7.255";"7.591";"7.846";"8.033";"8.242";"8.455";"8.627";"8.759";"8.643";"8.506";"8.330";"8.088";"8.012";"7.851";"7.729";"7.770";"7.801";
;"       Anästhesiologie";".";".";".";".";".";".";".";".";".";".";".";".";"3.917";"4.110";"4.324";"4.583";"4.666";"5.292";"5.666";"5.995";"6.411";"6.819";"7.255";"7.591";"7.846";"8.033";"8.242";"8.455";"8.627";"8.759";"8.643";"8.506";"8.330";"8.088";"8.012";"7.851";"7.729";"7.770";"7.801";
;"    Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"6";"6";"4";"5";"11";"24";"33";"41";"49";"55";"62";"63";"64";"65";"56";"55";"52";"50";"44";"41";"40";"37";"33";"27";"24";"19";"17";
;"       Anatomie";".";".";".";".";".";".";".";".";".";".";".";".";"6";"6";"4";"5";"11";"24";"33";"41";"49";"55";"62";"63";"64";"65";"56";"55";"52";"50";"44";"41";"40";"37";"33";"27";"24";"19";"17";
;"    Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"841";"838";"846";"850";"845";"954";"978";"1.025";"1.057";"1.039";"1.023";"1.016";"1.004";"1.008";"1.037";"1.052";"1.061";"1.086";"1.079";"1.062";"1.025";"978";"952";"915";"879";"866";"863";
;"       Arbeitsmedizin";".";".";".";".";".";".";".";".";".";".";".";".";"841";"838";"846";"850";"845";"954";"978";"1.025";"1.057";"1.039";"1.023";"1.016";"1.004";"1.008";"1.037";"1.052";"1.061";"1.086";"1.079";"1.062";"1.025";"978";"952";"915";"879";"866";"863";
